t_index	term	df
1170	backstop	2
1171	backtoback	5
1172	backup	2
1173	backward	3
1174	backyard	1
1175	bacon	18
1176	bad	39
1177	badg	3
1178	badli	39
1179	badrasen	5
1180	baffl	2
1181	bag	14
1182	bagad	1
1183	baggag	1
1184	baghbel	1
1185	baghdad	2
1186	bahgbo	5
1187	bahrain	34
1188	bahrainbas	3
1189	bai	1
1190	baijubahi	2
1191	bail	4
1192	bailey	6
1193	baird	1
1194	bairnt	1
1195	bakarec	3
1196	bake	2
1197	baken	1
1198	baker	5
1199	bakhshish	1
1200	bakri	5
1201	balanc	20
1202	balawat	1
1203	balcacer	2
1204	balconi	11
1205	bald	1
1206	balintkurti	1
1207	balk	4
1208	balkan	25
1209	ball	29
1210	ballard	1
1211	ballast	2
1212	ballena	1
1213	ballist	1
1214	ballo	1
1215	balloon	3
1216	ballot	72
1217	ballroom	2
1218	ballstrik	1
1219	balonia	1
1220	balsamo	1
1221	baltimor	3
1222	baltin	1
1223	bamba	3
1224	bambi	1
1225	bamboo	2
1226	bamboosupport	2
1227	bament	1
1228	ban	24
1229	banco	1
1230	band	11
1231	bandag	8
1232	bandanna	3
1233	bandit	1
1234	bang	7
1235	bangalor	1
1236	bangaru	3
1237	bangladesh	5
1238	bank	68
1239	banker	10
1240	bankfraud	1
1241	bankrupt	5
1242	bankruptci	4
1243	banner	9
1244	banquet	1
1245	baptist	5
1246	bar	54
1247	barak	9
1248	barb	4
1249	barbar	2
1250	barbara	24
1251	barber	1
1252	barbershop	1
1253	barcelona	1
1254	bare	46
1255	barefacedli	1
1256	barent	36
1257	barg	3
1258	bargain	9
1259	bari	1
1260	bark	1
1261	barkina	2
1262	barkolla	1
1263	barkova	3
1264	barna	4
1265	barney	1
1266	barnstorm	1
1267	barot	1
1268	barov	1
1269	barr	1
1270	barrack	35
1271	barrag	2
1272	barrel	2
1273	barrera	2
1274	barri	1
1275	barricad	18
1276	barrier	12
1277	bartlett	1
1278	barua	5
1279	base	166
1280	basebal	4
1281	baseballstyl	1
1282	baseerod	1
1283	baselin	16
1284	baselinebound	1
1285	basement	1
1286	basher	1
1287	bashraheel	1
1288	bashrahel	1
1289	basi	15
1290	basic	43
1291	basilica	1
1292	bask	2
1293	basket	3
1294	basketbal	1
1295	basset	1
1296	bassiouni	1
1297	bastion	6
1298	batch	1
1299	bath	4
1300	bathroom	3
1301	bathtub	1
1302	batic	2
1303	baton	4
1304	battalion	3
1305	batten	1
1306	batter	8
1307	batteri	1
1308	batteryoper	1
1309	battl	76
1310	battlefield	4
1311	battleground	8
1312	battleharden	2
1313	bauman	6
1314	bautista	1
1315	bavaria	1
1316	bay	7
1317	bazaar	1
1318	bbc	29
1319	beach	17
1320	beachfront	1
1321	bead	1
1322	beal	1
1323	beam	13
1324	bean	3
1325	bear	23
1326	beard	18
1327	bearer	2
1328	beat	79
1329	beaten	31
1330	beater	3
1331	beaumontbas	1
1332	beauti	6
1333	beaver	1
1334	becam	104
1335	becaus	354
1336	becausec	1
1337	beci	2
1338	becker	1
1339	becom	115
1340	bed	33
1341	bedanova	2
1342	bedi	12
1343	bedouin	1
1344	bedroom	6
1345	bedsheet	1
1346	beef	6
1347	beer	2
1348	befit	1
1349	befor	391
1350	befriend	1
1351	befuddl	1
1352	beg	4
1353	began	156
1354	beggar	1
1355	begin	151
1356	begun	31
1357	behalf	8
1358	behan	1
1359	behari	3
1360	behav	9
1361	behavior	10
1362	behind	155
1363	behindthescen	2
1364	beholden	3
1365	beij	3
1366	beirut	9
1367	bekki	3
1368	belaru	1
1369	belch	1
1370	beleagu	3
1371	belgian	5
1372	belgium	6
1373	belgrad	100
1374	beli	1
1375	belida	3
1376	belief	17
1377	believ	292
1378	belittl	1
1379	bell	4
1380	belliger	1
1381	belong	31
1382	belov	5
1383	belt	8
1384	bema	2
1385	bemoan	1
1386	ben	5
1387	bench	4
1388	benchmark	1
1389	bend	2
1390	beneath	31
1391	benefactor	2
1392	benefici	1
1393	beneficiari	1
1394	benefit	17
1395	benevol	7
1396	benign	1
1397	benin	8
1398	benito	1
1399	benjamin	2
1400	bennett	1
1401	benni	1
1402	bent	13
1403	benton	1
1404	bequeath	1
1405	berat	1
1406	bere	1
1407	beresich	1
1408	beretta	1
1409	bergen	1
1410	berger	25
1411	berlin	8
1412	bernstein	2
1413	bershard	1
1414	bershevski	1
1415	berth	2
1416	beschloss	1
1417	beset	2
1418	besid	27
1419	besieg	4
1420	bespectacl	2
1421	best	94
1422	bestequip	1
1423	bestkept	1
1424	bestknown	6
1425	bet	4
1426	beta	7
1427	betajon	1
1428	beth	1
1429	betray	4
1430	betrisia	1
1431	better	119
1432	bettertrain	1
1433	bevan	1
1434	beveneari	1
1435	bewild	1
1436	beyond	37
1437	bhaba	2
1438	bhachau	4
1439	bhagat	1
1440	bhakta	1
1441	bharatiya	3
1442	bharpi	3
1443	bhaskar	5
1444	bhat	1
1445	bhatt	1
1446	bhavesh	1
1447	bhowmik	1
1448	bhug	1
1449	bhuj	33
1450	bia	1
1451	biafran	2
1452	biarritz	3
1453	bias	8
1454	bibl	4
1455	bibleread	1
1456	biblic	1
1457	bicker	3
1458	bicycl	5
1459	bid	50
1460	bidanora	1
1461	big	76
1462	bigciti	1
1463	bigger	8
1464	biggest	39
1465	bigot	1
1466	bigticket	1
1467	bihari	10
1468	bilater	8
1469	bilingu	1
1470	bill	68
1471	billboard	2
1472	billet	1
1473	billi	4
1474	billion	54
1475	billionair	9
1476	billiondollar	5
1477	billow	13
1478	biltera	1
1479	bimal	2
1480	bin	87
1481	bind	5
1482	bindra	3
1483	bingaman	2
1484	bingo	1
1485	binladen	1
1486	binocular	5
1487	biogeneticist	1
1488	biograph	3
1489	biographi	4
1490	biolog	4
1491	bion	1
1492	bipartisan	2
1493	bipartisanship	1
1494	bird	3
1495	birger	1
1496	birth	9
1497	birthday	6
1498	birthmark	1
1499	birthplac	1
1500	biscuit	3
1501	bishop	2
1502	bit	46
1503	bite	2
1504	bitka	1
1505	bitten	1
1506	bitter	19
1507	bitterli	10
1508	bittersweet	2
1509	bizarr	10
1510	bjorn	1
1511	black	57
1512	blackclad	1
1513	blacken	4
1514	blackmail	5
1515	blackout	4
1516	blackrob	3
1517	blackti	2
1518	blade	1
1519	blair	15
1520	blakemor	1
1521	blame	56
1522	blanchard	1
1523	blanco	7
1524	bland	1
1525	blanda	1
1526	blank	2
1527	blanket	35
1528	blankli	2
1529	blare	1
1530	blast	109
1531	blatant	2
1532	blaze	6
1533	bleach	1
1534	bleachblond	1
1535	bleacher	1
1536	bleak	1
1537	bled	1
1538	bleed	2
1539	blemish	1
1540	blend	4
1541	bless	9
1542	blew	41
1543	blewup	1
1544	blind	8
1545	blindli	5
1546	blink	3
1547	blister	2
1548	blitz	1
1549	blitzer	1
1550	blizzard	5
1551	bloat	4
1552	bloc	7
1553	block	83
1554	blockad	15
1555	blocker	1
1556	blocki	1
1557	blokosso	1
1558	blond	4
1559	blondhair	1
1560	blood	31
1561	bloodbath	2
1562	bloodchil	2
1563	bloodi	8
1564	bloodiest	1
1565	bloodless	2
1566	bloodsh	9
1567	bloodspatt	1
1568	bloodsplatt	1
1569	bloodstain	1
1570	bloomberg	1
1571	bloomer	1
1572	blous	1
1573	blow	25
1574	blown	11
1575	blowtorch	1
1576	blue	43
1577	blueprint	11
1578	bluewat	1
1579	bluf	5
1580	blunk	1
1581	blunt	2
1582	bluntli	2
1583	blur	2
1584	blurb	1
1585	blusteri	1
1586	blvd	1
1587	bnai	1
1588	board	62
1589	boarder	5
1590	boardwalk	1
1591	boast	3
1592	boat	117
1593	boater	1
1594	boatmen	1
1595	bob	24
1596	bobbi	6
1597	bobic	1
1598	bodi	188
1599	bodien	1
1600	bodin	9
1601	bodon	1
1602	bodyguard	10
1603	bodyhunt	3
1604	boe	2
1605	bog	2
1606	boga	1
1607	bogg	1
1608	bogu	4
1609	bohdan	2
1610	boil	1
1611	boister	1
1612	bojic	1
1613	bold	3
1614	boldli	1
1615	bolivia	1
1616	bolona	2
1617	bolster	12
1618	bolt	1
1619	bomb	255
1620	bombard	2
1621	bombay	5
1622	bombdamag	1
1623	bomber	57
1624	bombet	2
1625	bombey	1
1626	bombladen	2
1627	bombmak	15
1628	bombshel	1
1629	bond	17
1630	bone	52
1631	bonecardi	1
1632	boneweari	1
1633	bonfir	3
1634	bonilla	1
1635	bonni	1
1636	bono	1
1637	bonu	1
1638	boo	3
1639	boobytrap	3
1640	book	26
1641	bookend	1
1642	boom	7
1643	boost	14
1644	booster	1
